serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000051,2210782,WESTFIELD SF CENTER CUBBY LOCA,865  MARKET ST,CUBBY C LEVEL,SAN FRANCISCO,CA,941031900,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000033BE,E7F82FC8513BE02469B6AE000000000033,E7017261646975736E6574776F726B7307
000052,1233895,GREAT MALL GFV CHAMPS,447  GREAT MALL DR,CHAMPS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000034BE,E7F82FC8513BE02469B6AE000000000034,E7017261646975736E6574776F726B7307
000053,1735356,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,NORDSTROMS 1 FL ESC,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000035BE,E7F82FC8513BE02469B6AE000000000035,E7017261646975736E6574776F726B7307
000054,3977616,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S VAN HEUSEN MULT,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000036BE,E7F82FC8513BE02469B6AE000000000036,E7017261646975736E6574776F726B7307
000055,4205615,GREAT MALL GFV D AND B,447  GREAT MALL DR,DAVE AND BUSTERS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000037BE,E7F82FC8513BE02469B6AE000000000037,E7017261646975736E6574776F726B7307
000056,1080549,GREAT MALL GFV VICTORIA SEC,447  GREAT MALL DR,VICTORIA SECRET,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000038BE,E7F82FC8513BE02469B6AE000000000038,E7017261646975736E6574776F726B7307
000057,1204905,WESTFIELD OAKRIDGE NORDS RACK,925  BLOSSOM HILL RD STE 2005,I/S MALL ENTR NORDS,SAN JOSE,CA,951231239,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000039BE,E7F82FC8513BE02469B6AE000000000039,E7017261646975736E6574776F726B7307
000058,2025151,WESTFIELD OAKRIDGE SEARS,925  BLOSSOM HILL RD,I/S MALL ENTR SEARS,SAN JOSE,CA,951231230,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003ABE,E7F82FC8513BE02469B6AE00000000003a,E7017261646975736E6574776F726B7307
000059,4891781,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,NEAR OLD NAVY STORE,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003BBE,E7F82FC8513BE02469B6AE00000000003b,E7017261646975736E6574776F726B7307
000060,4681018,WESTFIELD OAKRIDGE,925  BLOSSOM HILL RD,I/S TARGET MULTI,SAN JOSE,CA,951231230,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003CBE,E7F82FC8513BE02469B6AE00000000003c,E7017261646975736E6574776F726B7307
000061,4668402,GREAT MALL GFV SPENCERS,447  GREAT MALL DR,I/S PENGUIN CLOTHIN,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003DBE,E7F82FC8513BE02469B6AE00000000003d,E7017261646975736E6574776F726B7307
000062,3458517,GREAT MALL GFV SEC HALL,447  GREAT MALL DR,SECURITY HALLWAY,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003EBE,E7F82FC8513BE02469B6AE00000000003e,E7017261646975736E6574776F726B7307
000063,4837975,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,NEAR MICHAEL KORS S,LIVERMORE,CA,945514204,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000003FBE,E7F82FC8513BE02469B6AE00000000003f,E7017261646975736E6574776F726B7307
000064,6526784,GOOD NITE INN,4135 CUSHING PKWY,FS COI LOBBY,FREMONT,CA,945386464,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000040BE,E7F82FC8513BE02469B6AE000000000040,E7017261646975736E6574776F726B7307
000065,4142127,TRAVEL TRADERS #701,333  O FARRELL,I/S HILTON FS VENDI,SAN FRANCISCO,CA,94102,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000041BE,E7F82FC8513BE02469B6AE000000000041,E7017261646975736E6574776F726B7307
000066,3977607,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S AEROSOLES 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000042BE,E7F82FC8513BE02469B6AE000000000042,E7017261646975736E6574776F726B7307
000067,2141738,STONERIDGE MALL FS BOI,1    STONERIDGE MALL RD,2ND FLR SECURITY OF,PLEASANTON,CA,945883281,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000043BE,E7F82FC8513BE02469B6AE000000000043,E7017261646975736E6574776F726B7307
000068,3130933,GREAT MALL GFV D AND B,447  GREAT MALL DR,DAVE AND BUSTERS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000044BE,E7F82FC8513BE02469B6AE000000000044,E7017261646975736E6574776F726B7307
000069,3896166,SANTANA ROW LB 1ST FL,355  SANTANA ROW,LEFT BANK 1ST FL,SAN JOSE,CA,951282049,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000045BE,E7F82FC8513BE02469B6AE000000000045,E7017261646975736E6574776F726B7307
000070,9992626,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,PRKG A 2 FL ELEVATO,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000046BE,E7F82FC8513BE02469B6AE000000000046,E7017261646975736E6574776F726B7307
000071,4585699,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 401 LEARNING L,SANTA CLARA,CA,950530001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000047BE,E7F82FC8513BE02469B6AE000000000047,E7017261646975736E6574776F726B7307
000072,3130932,GREAT MALL GFV D AND B,447  GREAT MALL DR,DAVE AND BUSTERS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000048BE,E7F82FC8513BE02469B6AE000000000048,E7017261646975736E6574776F726B7307
000073,3929757,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 405 BANNAN HAL,SANTA CLARA,CA,950530001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000049BE,E7F82FC8513BE02469B6AE000000000049,E7017261646975736E6574776F726B7307
000074,3709795,TRAVELODGE BY THE BAY,1450 LOMBARD ST,O/S 1ST FL MULTI,SAN FRANCISCO,CA,941233112,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004ABE,E7F82FC8513BE02469B6AE00000000004a,E7017261646975736E6574776F726B7307
